The operator was: Luis
The sample measure was: Si
The sample was biased using: 
Comments:
Cooling down from 500C to 30C

Voltage	R	Temp	time
3.000000E-5	3.820300E+5	6.048782E+1	2.063500E+1
3.000000E-5	3.820100E+5	6.046044E+1	2.179000E+1
3.000000E-5	3.820300E+5	6.042225E+1	2.297500E+1
3.000000E-5	3.820100E+5	6.037175E+1	2.416100E+1
3.000000E-5	3.820000E+5	6.029912E+1	2.534500E+1
3.000000E-5	3.820200E+5	6.029288E+1	2.651400E+1
3.000000E-5	3.820100E+5	6.026659E+1	2.771400E+1
3.000000E-5	3.820000E+5	6.025442E+1	2.888400E+1
3.000000E-5	3.820100E+5	6.025161E+1	3.008400E+1
4.000000E-5	3.820100E+5	6.022013E+1	3.126800E+1
4.000000E-5	3.820000E+5	6.019260E+1	3.245300E+1
4.000000E-5	3.820000E+5	6.015693E+1	3.365300E+1
4.000000E-5	3.819900E+5	6.012522E+1	3.483800E+1
4.000000E-5	3.819900E+5	6.008604E+1	3.602200E+1
4.000000E-5	3.820000E+5	6.007722E+1	3.720600E+1
4.000000E-5	3.819800E+5	6.005522E+1	3.837700E+1
4.000000E-5	3.819900E+5	6.004304E+1	3.956100E+1
4.000000E-5	3.819800E+5	6.000760E+1	4.074600E+1
5.000000E-5	3.819700E+5	5.999358E+1	4.193100E+1
5.000000E-5	3.819900E+5	5.996875E+1	4.311700E+1
5.000000E-5	3.819800E+5	5.992179E+1	4.430100E+1
5.000000E-5	3.819600E+5	5.978217E+1	4.550000E+1
5.000000E-5	3.819800E+5	5.977198E+1	4.674500E+1
5.000000E-5	3.819600E+5	5.973518E+1	4.788500E+1
5.000000E-5	3.819400E+5	5.970117E+1	4.908400E+1
5.000000E-5	3.819700E+5	5.970909E+1	5.026900E+1
5.000000E-5	3.819500E+5	5.969812E+1	5.145400E+1
5.000000E-5	3.819500E+5	5.967974E+1	5.263900E+1
5.000000E-5	3.819600E+5	5.965013E+1	5.382300E+1
6.000000E-5	3.819500E+5	5.962055E+1	5.500800E+1
6.000000E-5	3.819200E+5	5.957339E+1	5.619200E+1
6.000000E-5	3.819400E+5	5.954872E+1	5.739200E+1
6.000000E-5	3.819200E+5	5.951781E+1	5.856300E+1
6.000000E-5	3.819300E+5	5.948727E+1	5.976300E+1
6.000000E-5	3.819400E+5	5.943787E+1	6.093200E+1
6.000000E-5	3.819200E+5	5.943058E+1	6.213200E+1
6.000000E-5	3.819400E+5	5.939073E+1	6.330200E+1
